tconst	primaryTitle	startYear
tt0035702	Ukraine in Flames	1943
tt0035703	Cabin in the Sky	1943
tt0035706	Calling Dr. Death	1943
tt0035709	The Peddler and the Lady	1943
tt0035713	Captive Wild Woman	1943
tt0035735	China	1943
tt0035737	The Woman Who Dared	1944
tt0035740	City Without Men	1943
tt0035742	Claudia	1943
tt0035744	Colt Comrades	1943
tt0035746	Commandos Strike at Dawn	1942
tt0035749	Coney Island	1943
tt0035751	The Constant Nymph	1943
tt0035752	The Count of Monte Cristo	1943
tt0035753	The Raven	1943
tt0035757	Corvette K-225	1943
tt0035759	O Costa do Castelo	1943
tt0035763	Crash Dive	1943
tt0035766	Crime Doctor	1943
tt0035767	The Crime Doctor's Strangest Case	1943
tt0035769	The Cross of Lorraine	1943
tt0035770	Cry 'Havoc'	1943
tt0035771	The Crystal Ball	1943
tt0035776	Damals	1943
tt0035777	The Dancing Masters	1943
tt0035779	Dangerous Blondes	1943
tt0035793	Adventure for Two	1943
tt0035795	Tarzan's Desert Mystery	1943
tt0035797	Desire	1946
tt0035798	The Desperadoes	1943
tt0035799	Destination Tokyo	1943
tt0035807	Another Dawn	1943
tt0035823	Douce	1943
tt0035825	Doña Bárbara	1943
tt0035829	Du Barry Was a Lady	1943
tt0035840	Eloísa está debajo de un almendro	1943
tt0035850	Eyes of the Underworld	1942
tt0035853	Paris Frills	1945
tt0035860	The Fallen Sparrow	1943
tt0035862	False Colors	1943
tt0035881	Fires Were Started	1943
tt0035883	First Comes Courage	1943
tt0035884	Five Graves to Cairo	1943
tt0035885	Flesh and Fantasy	1943
tt0035890	Wild Flower	1943
tt0035896	For Whom the Bell Tolls	1943
tt0035897	Forever and a Day	1943
tt0035899	Frankenstein Meets the Wolf Man	1943
tt0035912	Twilight	1944
tt0035916	The Gang's All Here	1943
tt0035931	The Gentle Sex	1943
tt0035937	The Ghost Ship	1943
tt0035939	Ghosts on the Loose	1943
tt0035942	Girl Crazy	1943
tt0035945	Give Us the Moon	1944
tt0035951	It Happened at the Inn	1943
tt0035957	Guadalcanal Diary	1943
tt0035959	A Guy Named Joe	1943
tt0035962	The Halfway House	1944
tt0035964	Port of Flowers	1943
tt0035966	Hangmen Also Die!	1943
tt0035978	The Heat's On	1943
tt0035979	Heaven Can Wait	1943
tt0035980	The Heavenly Body	1944
tt0035982	Hello Frisco, Hello	1943
tt0035996	Hi Diddle Diddle	1943
tt0036004	Hit the Ice	1943
tt0036026	I Escaped from the Gestapo	1943
tt0036027	I Walked with a Zombie	1943
tt0036036	Immensee - Ein deutsches Volkslied	1943
tt0036037	Immortal Sergeant	1943
tt0036038	In Old Oklahoma	1943
tt0036047	It Ain't Hay	1943
tt0036051	Jack London	1943
tt0036055	Jitterbugs	1943
tt0036057	Johnny Come Lately	1943
tt0036065	The Kansan	1943
tt0036077	Kismet	1943
tt0036092	A Lady Takes a Chance	1943
tt0036093	Lady from Chungking	1942
tt0036095	The Lamp Still Burns	1943
tt0036098	Lassie Come Home	1943
tt0036104	The Leopard Man	1943
tt0036112	The Life and Death of Colonel Blimp	1943
tt0036125	The Mad Ghoul	1943
tt0036126	Madame Curie	1943
tt0036135	The Man in Grey	1943
tt0036142	Margin for Error	1943
tt0036149	The Meanest Man in the World	1943
tt0036152	The Memphis Belle: A Story of a Flying Fortress	1944
tt0036161	Minesweeper	1943
tt0036166	Mission to Moscow	1943
tt0036172	The More the Merrier	1943
tt0036174	Mr. Lucky	1943
tt0036177	The Life of Matsu the Untamed	1943
tt0036182	My Friend Flicka	1943
tt0036191	The Adventures of Baron Munchausen	1943
tt0036196	Adventures in Bokhara	1943
tt0036202	A Night for Crime	1943
tt0036203	A Night to Remember	1942
tt0036204	Nine Men	1943
tt0036208	No Time for Love	1943
tt0036210	O noapte furtunoasa	1943
tt0036217	The North Star	1943
tt0036218	Northern Pursuit	1943
tt0036230	Old Acquaintance	1943
tt0036232	The Old Chisholm Trail	1942
tt0036235	Ombyte av tåg	1943
tt0036237	One Dangerous Night	1942
tt0036239	Ordet	1943
tt0036241	The Outlaw	1943
tt0036244	The Ox-Bow Incident	1942
tt0036249	Paracelsus	1943
tt0036251	Paris After Dark	1943
tt0036253	Passport to Suez	1943
tt0036260	Phantom Lady	1944
tt0036261	Phantom of the Opera	1943
tt0036272	Power of the Press	1943
tt0036275	Presenting Lily Mars	1943
tt0036277	Princess O'Rourke	1943
tt0036290	Raiders of San Joaquin	1943
tt0036301	Report from the Aleutians	1943
tt0036306	Reveille with Beverly	1943
tt0036316	Romance in a Minor Key	1943
tt0036323	Sahara	1943
tt0036341	The Seventh Victim	1943
tt0036342	Shadow of a Doubt	1943
tt0036348	Sherlock Holmes Faces Death	1943
tt0036349	Sherlock Holmes in Washington	1943
tt0036363	The Sky's the Limit	1943
tt0036365	Slightly Dangerous	1943
tt0036367	So Proudly We Hail!	1943
tt0036376	Son of Dracula	1943
tt0036377	The Song of Bernadette	1943
tt0036378	Song of Russia	1944
tt0036384	Stage Door Canteen	1943
tt0036386	Stand by for Action	1942
tt0036391	Stormy Weather	1943
tt0036392	The Flemish Farm	1943
tt0036395	A Stranger in Town	1943
tt0036400	Sanshiro Sugata	1943
tt0036414	Tarzan Triumphs	1943
tt0036418	Tender Comrade	1943
tt0036419	Tennessee Johnson	1942
tt0036422	Thank Your Lucky Stars	1943
tt0036427	They Got Me Covered	1943
tt0036430	This Is the Army	1943
tt0036431	This Land Is Mine	1943
tt0036443	Titanic	1943
tt0036470	The Last Wagon	1943
tt0036483	The Man with the Cross	1943
tt0036484	The Song Lantern	1943
tt0036490	Valkoiset ruusut	1943
tt0036495	Le voyageur de la Toussaint	1943
tt0036497	Victory Through Air Power	1943
tt0036502	La vita è bella	1943
tt0036506	Day of Wrath	1943
tt0036515	Watch on the Rhine	1943
tt0036516	We Dive at Dawn	1943
tt0036526	What a Woman!	1943
tt0036534	White Savage	1943
tt0036540	Wintertime	1943
tt0036549	Yellow Canary	1943
tt0036552	Young Ideas	1943
tt0036553	Young and Willing	1943
tt0036554	The Youngest Profession	1943
tt0036566	L'éternel retour	1943
tt0036572	1812	1944
tt0036573	Two Thousand Women	1944
tt0036577	The Abandoned	1945
tt0036581	Address Unknown	1944
tt0036582	The Adventures of Mark Twain	1944
tt0036588	The Agitator	1945
tt0036591	Ali Baba and the Forty Thieves	1943
tt0036599	And Now Tomorrow	1944
tt0036602	Andy Hardy's Blonde Trouble	1944
tt0036606	Another Time, Another Place	1983
tt0036613	Arsenic and Old Lace	1944
tt0036627	La barraca	1945
tt0036628	Bathing Beauty	1944
tt0036629	The Battle of Russia	1943
tt0036636	Belle of the Yukon	1944
tt0036641	Between Two Worlds	1944
tt0036644	The Big Noise	1944
tt0036651	Blonde Fever	1944
tt0036653	Bluebeard	1944
tt0036670	Brazil	1944
